ad_creation_date,dollar_price
2016-03-03,6632.608923884514
2016-03-04,6148.519097222223
2016-03-05,6077.397305507859
2016-03-06,6276.040844244674
2016-03-07,6153.766840293105
2016-03-08,6008.6787210785205
2016-03-09,6094.687628222282
2016-03-10,5943.5183765079955
2016-03-11,6018.55918254115
2016-03-12,6098.860633861551
2016-03-13,6518.217849613493
2016-03-14,6263.306384814496
2016-03-15,6177.327953044754
2016-03-16,5998.665133026605
2016-03-17,6047.132442523089
2016-03-18,6193.959085963003
2016-03-19,6143.316008500088
2016-03-20,6435.2976379267175
2016-03-21,6204.864894889763
2016-03-22,5966.462654028436
2016-03-23,6306.476520254246
2016-03-24,6468.598918477706
2016-03-25,6451.878732030962
2016-03-26,6332.447397978285
2016-03-27,6580.956110328166
2016-03-28,6339.789469141131
2016-03-29,6321.010200429492
2016-03-30,6225.185963629718
2016-03-31,6354.378046458492
2016-04-01,6590.865805877115
2016-04-02,6494.978041849651
2016-04-03,6551.422564497497
2016-04-04,6524.828585147247
2016-04-05,6496.05354787655
2016-04-06,6607.242954324587
2016-04-07,6689.150905432595
2016-04-08,6761.865590
2016-04-09,6732.382252
2016-04-10,6749.737677
2016-04-11,6741.560625
2016-04-12,6732.712946
2016-04-13,6766.901196
2016-04-14,6792.086054
2016-04-15,6814.444190
2016-04-16,6805.378724
2016-04-17,6810.715129
2016-04-18,6808.200868
2016-04-19,6805.480405
2016-04-20,6815.992526
2016-04-21,6823.736305
2016-04-22,6830.610930
2016-04-23,6827.823503
2016-04-24,6829.464328
2016-04-25,6828.691249
